country,birth,code,region,lat,long
Philippines,24.4,PHL,Asia,13,122
Poland,10.8,POL,Europe,52,20
Portugal,8.7,PRT,Europe,39.5,-8
Qatar,11,QAT,Asia,25.5,51.25
South Korea,9.6,KOR,Asia,37,127.5
Moldova,12.1,MDA,Europe,47,29
Romania,10.3,ROU,Europe,46,25
Russia,11.8,RUS,Asia,60,100
Rwanda,35.2,RWA,Africa,-2,30
Saint Kitts and Nevis,13.8,KNA,America,17.3333,-62.75
Saint Lucia,15.4,LCA,America,13.8833,-61.1333
Saint Vincent and the Grenadines,16.3,VCT,America,13.25,-61.2
Samoa,26.2,WSM,Oceania,-13.5833,-172.3333
San Marino,8.8,SMR,Europe,43.7667,12.4167
Sao Tome and Principe,33.9,STP,Africa,1,7
Saudi Arabia,19.4,SAU,Asia,25,45
Senegal,37.7,SEN,Africa,14,-14
Republic of Serbia,9.7,SRB,Europe,44,21
Seychelles,16.6,SYC,Africa,-4.5833,55.6667
Sierra Leone,36.6,SLE,Africa,8.5,-11.5
Singapore,9.9,SGP,Asia,1.3667,103.8
Slovakia,10.7,SVK,Europe,48.6667,19.5
Slovenia,10,SVN,Europe,46,15
Solomon Islands,30.8,SLB,Oceania,-8,159
Somaliland,43,SOM,Africa,9.779414,46.912799
Somalia,43.8,SOM,Africa,10,49
South Africa,20.9,ZAF,Africa,-29,24
South Sudan,36.1,SSD,Africa,7.010777,30.906050
Spain,10.4,ESP,Europe,40,-4
Sri Lanka,17.9,LKA,Asia,7,81
Sudan,33.5,SDN,Africa,15,30
Suriname,17.7,SUR,America,4,-56
Swaziland,29.9,SWZ,Africa,-26.5,31.5
Sweden,12,SWE,Europe,62,15
Switzerland,10.4,CHE,Europe,47,8
Syria,24,SYR,Asia,35,38
Tajikistan,33,TJK,Asia,39,71
Thailand,10.2,THA,Asia,15,100
Macedonia,10.7,MKD,Europe,41.8333,22
East Timor,35.8,TLS,Asia,-8.55,125.5167
Togo,36.4,TGO,Africa,8,1.1667
Tonga,25.5,TON,Africa,-20,-175
Trinidad and Tobago,14.5,TTO,Africa,11,-61
Tunisia,17.2,TUN,Africa,34,9
Turkey,16.8,TUR,Asia,39,35
Turkmenistan,21.3,TKM,Asia,40,60
Tuvalu,23.6,TUV,Oceania,-8,178
Uganda,43.2,UGA,Africa,1,32
Ukraine,10.8,UKR,Europe,49,32
United Arab Emirates,14.5,ARE,Asia,24,54
United Kingdom,12.2,GBR,Europe,54,-2
United Republic of Tanzania,39.2,TZA,Africa,-6,35
United States of America,13.2,USA,America,38,-97
Uruguay,14.5,URY,America,-33,-56
Uzbekistan,21.5,UZB,Asia,41,64
Vanuatu,26.6,VUT,Oceania,-16,167
Venezuela,19.8,VEN,America,8,-66
Vietnam,15.5,VNM,Asia,16,106
Yemen,31.1,YEM,Asia,15,48
Zambia,42.8,ZMB,Africa,-15,30
Zimbabwe,31.3,ZWE,Africa,-20,30
