country,birth,death,code
Tuvalu,23.6,8.7,TUV
Uganda,43.2,9.2,UGA
Ukraine,10.8,15.1,UKR
United Arab Emirates,14.5,1.1,ARE
United Kingdom of Great Britain and Northern Ireland,12.2,8.9,GBR
United Republic of Tanzania,39.2,7.8,TZA
United States of America,13.2,8.4,USA
Uruguay,14.5,9.1,URY
Uzbekistan,21.5,6.4,UZB
Vanuatu,26.6,4.5,VUT
Venezuela (Bolivarian Republic of),19.8,4.8,VEN
Viet Nam,15.5,5.8,VNM
Yemen,31.1,6.7,YEM
Zambia,42.8,9.7,ZMB
Zimbabwe,31.3,9.8,ZWE
